sku,name,unit,price
KRP-0004,Болт DIN933 М8х20 оцинкованный,шт,20.56
KRP-0005,Болт DIN933 М8х30 оцинкованный,шт,11.13
KRP-0006,Болт DIN933 М8х40 оцинкованный,шт,27.54
KRP-0007,Болт DIN933 М8х60 оцинкованный,шт,56.66
KRP-0008,Болт DIN933 М8х80 оцинкованный,шт,41.93
KRP-0009,Болт DIN933 М10х30 оцинкованный,шт,54.56
KRP-0010,Болт DIN933 М10х40 оцинкованный,шт,38.47
KRP-0011,Болт DIN933 М10х60 оцинкованный,шт,20.85
KRP-0012,Болт DIN933 М10х80 оцинкованный,шт,34.68
KRP-0013,Болт DIN933 М10х100 оцинкованный,шт,4.02
KRP-0014,Болт DIN933 М12х40 оцинкованный,шт,20.07
KRP-0015,Болт DIN933 М12х60 оцинкованный,шт,28.07
KRP-0016,Болт DIN933 М12х80 оцинкованный,шт,36.48
KRP-0017,Болт DIN933 М12х120 оцинкованный,шт,40.66
KRP-0018,Гайка DIN934 М6 оцинкованная,шт,14.75
KRP-0019,Гайка DIN934 М8 оцинкованная,шт,14.10
KRP-0020,Гайка DIN934 М10 оцинкованная,шт,7.59
KRP-0021,Гайка DIN934 М12 оцинкованная,шт,14.99
KRP-0022,Гайка DIN934 М14 оцинкованная,шт,27.18
KRP-0023,Гайка DIN934 М16 оцинкованная,шт,24.19
KRP-0024,Гайка DIN934 М20 оцинкованная,шт,6.34
KRP-0025,Шайба плоская DIN125 М6,шт,1.41
KRP-0026,Шайба гровер DIN127 М6,шт,5.08
KRP-0027,Шайба плоская DIN125 М8,шт,5.36
KRP-0028,Шайба гровер DIN127 М8,шт,3.62
KRP-0029,Шайба плоская DIN125 М10,шт,6.69
KRP-0030,Шайба гровер DIN127 М10,шт,6.98
KRP-0031,Шайба плоская DIN125 М12,шт,5.64
KRP-0032,Шайба гровер DIN127 М12,шт,2.72
KRP-0033,Шпилька резьбовая DIN975 М8х1000,шт,95.84
KRP-0034,Шпилька резьбовая DIN975 М10х1000,шт,64.40
KRP-0035,Шпилька резьбовая DIN975 М12х1000,шт,104.07
KRP-0036,Анкер клиновой 8х60,шт,52.21
KRP-0037,Анкер клиновой 10х77,шт,79.18
KRP-0038,Анкер клиновой 12х100,шт,23.24
KRP-0039,Анкер с гайкой 8х65,шт,58.47
KRP-0040,Анкер с гайкой 10х97,шт,77.42
KRP-0041,Анкер с гайкой 12х129,шт,39.11
KRP-0042,Гвозди строительные 2.5х50 (кг),кг,217.49
KRP-0043,Гвозди строительные 3х70 (кг),кг,189.21
KRP-0044,Гвозди строительные 3х80 (кг),кг,154.16
KRP-0045,Гвозди строительные 4х100 (кг),кг,211.85
KRP-0046,Гвозди строительные 4х120 (кг),кг,120.78
KRP-0047,Дюбель-гвоздь 6х40 (уп. 100 шт),уп,435.33
KRP-0048,Дюбель-гвоздь 6х60 (уп. 100 шт),уп,441.82
KRP-0049,Дюбель-гвоздь 8х80 (уп. 100 шт),уп,216.24
KRP-0050,Дюбель-гвоздь 8х100 (уп. 100 шт),уп,324.55
KRP-0051,Дюбель распорный 6х30 (уп. 100 шт),уп,130.45
KRP-0052,Дюбель распорный 8х40 (уп. 100 шт),уп,310.33
KRP-0053,Дюбель распорный 10х50 (уп. 100 шт),уп,209.13
RIN-0001,Ключ рожковый 8х10 мм,шт,104.56
RIN-0002,Ключ рожковый 10х12 мм,шт,162.27
RIN-0003,Ключ рожковый 12х13 мм,шт,336.02
RIN-0004,Ключ рожковый 13х14 мм,шт,222.37
RIN-0005,Ключ рожковый 17х19 мм,шт,322.41
RIN-0006,Ключ рожковый 22х24 мм,шт,283.60
RIN-0007,Ключ разводной 250 мм,шт,775.16
RIN-0008,Ключ разводной 300 мм,шт,777.73
RIN-0009,Отвёртка PH1х100 мм,шт,405.01
RIN-0010,Отвёртка PH2х100 мм,шт,387.43
RIN-0011,Отвёртка PH2х150 мм,шт,303.80
RIN-0012,Отвёртка PZ2х100 мм,шт,335.78
RIN-0013,Отвёртка SL5.5х100 мм,шт,271.43
RIN-0014,Отвёртка SL8х150 мм,шт,369.17
RIN-0015,Молоток слесарный 500 г,шт,490.11
RIN-0016,Молоток слесарный 800 г,шт,636.83
RIN-0017,Молоток слесарный 1000 г,шт,572.34
RIN-0018,Ножовка по дереву 450 мм,шт,588.86
RIN-0019,Ножовка по металлу 300 мм,шт,353.31
RIN-0020,Плоскогубцы комбинированные 180 мм,шт,369.01
RIN-0021,Бокорезы 160 мм,шт,464.05
RIN-0022,Пассатижи переставные 250 мм,шт,818.22
RIN-0023,Уровень пузырьковый 600 мм,шт,1172.38
RIN-0024,Уровень пузырьковый 1000 мм,шт,1332.66
RIN-0025,Уровень пузырьковый 1500 мм,шт,797.39
RIN-0026,Уровень пузырьковый 2000 мм,шт,497.77
RIN-0027,Угольник столярный 300 мм,шт,255.72
RIN-0028,Степлер мебельный тип 53,шт,675.63
RIN-0029,Скобы для степлера тип 53 8 мм (уп. 1000 шт),уп,91.97
RIN-0030,Скобы для степлера тип 53 10 мм (уп. 1000 шт),уп,114.02
RIN-0031,Скобы для степлера тип 53 12 мм (уп. 1000 шт),уп,73.84
